word	nodeType	unit
dream	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
so	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
long	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
flesh	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
dull	ADJ	Malenia_Blade_of_Miquella-scene-2026000-4
gold	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
blood	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
rot	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
corpse	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
leave	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
wake	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
await	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
return	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
never	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
know	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
defeat	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
companion	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
heed	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
warning	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
greed	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
know	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
end	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
steal	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
last	ADJ	Malenia_Blade_of_Miquella-scene-2026000-4
drop	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
warmth	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
empty	ADJ	Malenia_Blade_of_Miquella-scene-2026000-4
frame	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
after	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
take	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
still	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
want	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
more	ADJ	Malenia_Blade_of_Miquella-scene-2026000-4
then	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
have	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
kill	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
never	ADV	Malenia_Blade_of_Miquella-scene-2026000-4
know	VERB	Malenia_Blade_of_Miquella-scene-2026000-4
defeat	NOUN	Malenia_Blade_of_Miquella-scene-2026000-4
